,stemmedComment
115,"['buset', 'dahjamintelnya', 'tetangga', 'belah', 'rumah', 'sendirimiris']"
116,"['bisa', 'jadi', 'muncul', 'petromak', 'rakyat']"
117,"['kalau', 'sudah', 'eksekusi', 'enggak', 'lagi', 'lindung', 'kan', 'sama', 'janji', 'back', 'up', 'kalo', 'kena', 'masalah', 'hehehe', 'makan', 'tuh', 'janji', 'saat', 'kampanye']"
118,"['makan', 'cari', 'lu', 'tuhhhhh']"
119,"['selamat', 'ya']"
120,"['masih', 'mudabuaknnya', 'dukung', 'presiden', 'generasi', 'mudapayah']"
121,"['yess', 'tidur', 'aaaah', 'biar', 'cepat', 'besok', 'ada', 'yang', 'berani', 'taruh', 'siapa', 'yang', 'bain', 'mereka']"
122,"['tukang', 'fitnah', 'hukum', 'berat']"
123,"['harusnya', 'min', 'tahun', 'di', 'sel']"
124,"['nah', 'ini', 'dia', 'paling', 'lawyernya', 'habibu', 'getombolan', 'nasi', 'bungkus', 'micin', 'jantung']"
125,"['cuma', 'tahun', 'enak', 'benar']"
126,"['ini', 'bodoh', 'amat', 'cuma', 'bulan', 'harus', 'jangan', 'banding', 'malah', 'jadi', 'tahun']"
127,"['bos', 'nya', 'sikat']"
128,"['mari', 'kita', 'tunggu', 'siapa', 'saja', 'yang', 'nyinyir', 'atas', 'tangkap', 'ini']"
129,"['muka', 'tegar', 'jalan', 'hukum']"
130,"['bos', 'deh', 'tangkap', 'belum']"
131,"['wowok', 'cs', 'banyak', 'mudarat', 'nya']"
132,"['bravo', 'jaksa', 'selamat', 'tugas']"
133,"['hukum', 'seberatberatnya']"
134,"['kalo', 'cebong', 'mah', 'enggak', 'di', 'tangkap', 'kebal', 'hukum', 'seperti', 'viktor', 'laiskodat', 'adek', 'armando', 'nathan', 'ananda', 'sukarlan', 'dll', 'gantipresiden']"
135,"['good', 'job', 'jangan', 'lupa', 'gerombol', 'surveyor', 'ines', 'juga', 'harus', 'awas', 'dari', 'pada', 'sebar', 'hasil', 'survey', 'abal', 'abal', 'apalagi', 'mau', 'pilpres', 'malah', 'bikin', 'pecah']"
136,"['sudah', 'bongkar', 'kan', 'sama', 'pak', 'romi', 'pasti', 'ada', 'dana', 'sih', 'kejar', 'juga', 'pak', 'jaksaterus', 'pak', 'juang', 'demi', 'bersih', 'negara', 'ini', 'dari', 'tukang', 'fitnah']"
137,"['usut', 'dana', 'nya', 'dari', 'mana', 'itu', 'baru', 'hebat']"
138,"['silah', 'nyanyi', 'denga', 'bebas', 'walaupum', 'sumbangtempat', 'telah', 'disediakanwkwkwkwkkw']"
139,"['kok', 'cuma', 'tahun']"
140,"['ayo', 'dong', 'polisi', 'kalo', 'nangkep', 'kayak', 'gin', 'cari', 'tahu', 'bos', 'siapa', 'siapa', 'yang', 'beri', 'dana', 'terus', 'kalo', 'sudah', 'tau', 'tangkap', 'lansung']"
141,"['sate', 'saja', 'pak', 'jaksa']"
142,"['tembak', 'jidat', 'nya']"
143,"['tangkap', 'bandar', 'dan', 'pimpin', 'gembong', 'hoaxnya', 'biar', 'jelas']"
144,"['tukang', 'fitnah', 'plus', 'juragan', 'wajib', 'hukum']"
145,"['sudah', 'bukti', 'komplot', 'sana', 'cuma', 'bisa', 'fitnah', 'hoax', 'pki', 'kerja', 'enggak', 'ada']"
146,"['mending', 'tenggelam', 'saja']"
147,"['aktor', 'intelektual', 'yang', 'dana', 'kerja', 'obor', 'rakyat', 'untuk', 'penting', 'politik', 'sang', 'aktor', 'intelektual', 'juga', 'harus', 'di', 'tangkap', 'dan', 'tenggelam']"
148,"['mau', 'bagus', 'atau', 'gapresiden', 'itu', 'kepala', 'negara', 'yang', 'harus', 'dihormatikl', 'lu', 'hina', 'ya', 'pantas', 'masuk', 'bui']"
149,"['mau', 'bagus', 'atau', 'gapresiden', 'itu', 'kepala', 'negara', 'yang', 'harus', 'dihormatikl', 'lu', 'hina', 'ya', 'pantas', 'masuk', 'bui']"
150,"['mau', 'bagus', 'atau', 'gapresiden', 'itu', 'kepala', 'negara', 'yang', 'harus', 'dihormatikl', 'lu', 'hina', 'ya', 'pantas', 'masuk', 'bui']"
151,"['tukang', 'fitnah', 'dan', 'sebar', 'hoax', 'tenggelam']"
152,"['hhahahh', 'ya', 'jelas', 'sudah', 'tebak', 'negeri', 'dagel', 'yang', 'komen', 'juga', 'blaa', 'blaaa', 'blaaaa', 'lanjutakan', 'saja']"
153,"['terima', 'kasih', 'jaksa']"
154,"['pak', 'jaksa', 'yang', 'hina', 'pak', 'jokowi', 'kali', 'pasti', 'pak', 'jaksa', 'tau', 'lahtolong', 'di', 'seret', 'ke', 'penjara', 'thanks']"
155,"['sekalipun', 'benci', 'dengan', 'jokowi', 'bukan', 'arti', 'tebar', 'fitnah', 'biar', 'bgaimanapun', 'jokowi', 'itu', 'presiden', 'pilih', 'rakyat', 'fitnah', 'presiden', 'fitnah', 'rakyat']"
156,"['buron', 'wkwk']"
157,"['kalo', 'di', 'turki', 'ini', 'orang', 'sudah', 'ciduk', 'langsung', 'oleh', 'erdogan', 'presiden', 'idam', 'nya', 'pks', 'untung', 'lah', 'di', 'indonesia', 'ini', 'presiden', 'nya', 'jokowi', 'yang', 'orang', 'nya', 'lembut', 'dan', 'kalem']"
158,"['kalo', 'dulu', 'menang', 'sudah', 'angkat', 'menteri', 'nih', 'orang']"
159,"['kalo', 'dulu', 'menang', 'sudah', 'angkat', 'menteri', 'nih', 'orang']"
